name,price,specs,ram_gb,display_inch,camera_mp,battery_mah
OPPO F25 Pro 5G,23999.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.02 cm (6.7 inch) Full HD+ Display', '64MP + 8MP + 2MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 7050 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.7,64.0,5000.0
OPPO Reno8T 5G,25199.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.02 cm (6.7 inch) Full HD+ Display', '108MP + 2MP + 2MP | 32MP Front Camera', '4800 mAh Lithium-ion Polymer Battery', 'Qualcomm Snapdragon 695 Processor', '67W SUPERVOOC TM Charger I Dual Stereo Speakers', '120Hz 3D Curved AMOLED Screen', '1 Year on Handset and 6 Months on Accessories']",8.0,6.7,108.0,4800.0
OPPO Reno11 5G,29454.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 32MP | 32MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 7050 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.7,50.0,5000.0
OPPO Reno11 5G,27999.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 32MP | 32MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 7050 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.7,50.0,5000.0
OPPO A78 5G,20999.0,"['8 GB RAM | 128 GB ROM', '16.66 cm (6.56 inch) HD+ Display', '50MP + 2MP | 8MP Front Camera', '5000 mAh Battery', '6833 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']",8.0,6.56,50.0,5000.0
OPPO Reno 12 5G,27999.0,"['8 GB RAM | 256 GB ROM | Expandable Upto 256 GB', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 50MP | 32MP + 32MP Dual Front Camera', '5000 mAh Battery', 'MediaTek Dimensity 9200 Processor', '1-year']",8.0,6.7,50.0,5000.0
OPPO K13 Turbo Pro 5G,39999.0,"['12 GB RAM | 256 GB ROM', '17.27 cm (6.8 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '7000 mAh Battery', '8s Gen 4 Mobile Platform Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.8,50.0,7000.0
OPPO A79 5G,22800.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '17.07 cm (6.72 inch) Full HD+ Display', 'Rear Camera: 50MP AI Camera, 2MP Portrait Camera Front Camera: 8MP Selfie Camera | 8MP Front Camera', '5000 mAh Lithium Polymer Battery', 'Mediatek Dimensity 6020 Processor', 'Before going on the market, the product has gone through 6 tests, namely drop, anti-splash, radiation, weather, slight drop, and signal tests, and 5 safety protection steps, namely durability, fire and flame retardant, temperature protection, noise safety, and battery protection. 50-plus production-related checks, 130-plus ultra-stringent reliability tests, and 320-plus comprehensive testing processes, just to provide OPPO enduring craftsmanship and quality.\n[1-Meter Directional Drop Test]\n[150-Circle Tumbling Test]\n[14,000 Micro-Drop Test]\n[Water-Spray Test]\n[1,000 25Kg Soft Pressure Tests]\n[Stress Bending Test]\n[500,000 On Button Press Tests]\n[20,000 USB Plug/Unplug Tests]\n[65°C 95%RH 168H High Temperature and High Humidity Test]\n[100,000-Plus Rigorous Quality Tests]\n* The data here refers to laboratory test data only and is not intended for quality assurance in daily use. The actual situation will be slightly different due to different test software versions, test environments, and versions.', '12 Months on Handset and 6 Months on Adapter & Cable']",8.0,6.72,50.0,
OPPO Reno11 5G,30953.0,"['8 GB RAM | 256 GB ROM | Expandable Upto 2 TB', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 32MP | 32MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 7050 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.7,50.0,5000.0
OPPO K13 Turbo Pro 5G,37999.0,"['8 GB RAM | 256 GB ROM', '17.27 cm (6.8 inch) Full HD+ Display', '50MP + 2MP | 16MP Front Camera', '7000 mAh Battery', '8s Gen 4 Mobile Platform Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.8,50.0,7000.0
OPPO Reno 12 Pro 5G,34999.0,"['12 GB RAM | 512 GB ROM | Expandable Upto 1 TB', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 50MP | 50MP Front Camera', '5000 mAh Battery', 'Dimensity 7300 Energy Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.7,50.0,5000.0
OPPO Find X8 5G,69999.0,"['12 GB RAM | 256 GB ROM', '16.74 cm (6.59 inch) Full HD+ AMOLED Display', '50MP + 50MP + 50MP | 32MP Front Camera', '5630 mAh Battery', 'Dimensity 9400 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.59,50.0,5630.0
OPPO F23 5G,22999.0,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '17.07 cm (6.72 inch) Full HD+ Display', '64MP + 2MP + 2MP | 32MP Front Camera', '5000 mAh Battery', 'Snapdragon 695 Processor', '12 Months on Handset and 6 Months on Adapter & Cable']",8.0,6.72,64.0,5000.0
OPPO F25 Pro 5G,23950.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '17.02 cm (6.7 inch) Full HD+ Display', '64MP + 8MP + 2MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 7050 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.7,64.0,5000.0
OPPO F23 5G,21099.0,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '17.07 cm (6.72 inch) Full HD+ Display', '64MP + 2MP + 2MP | 32MP Front Camera', '5000 mAh Battery', 'Snapdragon 695 Processor', '12 Months on Handset and 6 Months on Adapter & Cable']",8.0,6.72,64.0,5000.0
OPPO Reno 12 Pro 5G,43739.0,"['12 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 50MP | 50MP Front Camera', '5000 mAh Battery', 'Dimensity 7300 Energy Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.7,50.0,5000.0
OPPO Find X8 5G,79999.0,"['16 GB RAM | 512 GB ROM', '16.74 cm (6.59 inch) Full HD+ AMOLED Display', '50MP + 50MP + 50MP | 32MP Front Camera', '5630 mAh Battery', 'Dimensity 9400 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",16.0,6.59,50.0,5630.0
OPPO Reno11 Pro 5G,29999.0,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 32MP | 32MP Front Camera', '4600 mAh Battery', 'Mediatek Dimensity 8200 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.7,50.0,4600.0
OPPO F27 5G,25958.0,"['8 GB RAM | 256 GB ROM | Expandable Upto 2 TB', '16.94 cm (6.67 inch) Full HD+ Display', '50MP + 2MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 6300 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.67,50.0,5000.0
OPPO F27 5G,22999.0,"['8 GB RAM | 256 GB ROM | Expandable Upto 2 TB', '16.94 cm (6.67 inch) Full HD+ Display', '50MP + 50MP + 2MP | 32MP + 32MP Dual Front Camera', '5000 mAh Battery', 'Dimensity 6300 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.67,50.0,5000.0
OPPO Find X8 5G,69999.0,"['12 GB RAM | 256 GB ROM', '16.74 cm (6.59 inch) Full HD+ AMOLED Display', '50MP + 50MP + 50MP | 32MP Front Camera', '5630 mAh Battery', 'Dimensity 9400 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.59,50.0,5630.0
OPPO F27 5G,20999.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '16.94 cm (6.67 inch) Full HD+ Display', '50MP + 2MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 6300 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.67,50.0,5000.0
OPPO F27 5G,20999.0,"['8 GB RAM | 128 GB ROM | Expandable Upto 2 TB', '16.94 cm (6.67 inch) Full HD+ Display', '50MP + 2MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 6300 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.67,50.0,5000.0
OPPO Reno12 5g,30999.0,"['8 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 50MP + 8MP + 2MP | 32MP + 32MP Dual Front Camera', '5000 mAh Battery', 'Dimensity 7300 Energy Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.7,50.0,5000.0
OPPO A78 5G,20999.0,"['8 GB RAM | 128 GB ROM', '16.66 cm (6.56 inch) Display', '50MP Rear Camera', '5000 mAh Battery', '1 Year For Handset 6 Months For Accessories']",8.0,6.56,50.0,5000.0
OPPO Reno 12 Pro 5G,36999.0,"['12 GB RAM | 256 GB ROM | Expandable Upto 1 TB', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 50MP | 50MP Front Camera', '5000 mAh Battery', 'Dimensity 7300 Energy Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.7,50.0,5000.0
OPPO Reno11 Pro 5G,29999.0,"['12 GB RAM | 256 GB ROM', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 32MP | 32MP Front Camera', '4600 mAh Battery', 'Mediatek Dimensity 8200 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",12.0,6.7,50.0,4600.0
OPPO Find X8 Pro 5G,99999.0,"['16 GB RAM | 512 GB ROM', '17.22 cm (6.78 inch) Full HD+ AMOLED Display', '50MP + 50MP + 50MP + 50MP | 32MP Front Camera', '5910 mAh Battery', 'Dimensity 9400 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",16.0,6.78,50.0,5910.0
OPPO F25 Pro 5G,25999.0,"['8 GB RAM | 256 GB ROM | Expandable Upto 2 TB', '17.02 cm (6.7 inch) Full HD+ Display', '64MP + 8MP + 2MP | 32MP Front Camera', '5000 mAh Battery', 'Dimensity 7050 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.7,64.0,5000.0
OPPO Reno11 5G,29999.0,"['8 GB RAM | 256 GB ROM | Expandable Upto 2 TB', '17.02 cm (6.7 inch) Full HD+ Display', '50MP + 8MP + 32MP | 32MP Front Camera', '5000 mAh Battery', 'Mediatek Dimensity 7050 Processor', '1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories']",8.0,6.7,50.0,5000.0
OPPO K10 5G,20999.0,"['6 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.66 cm (6.56 inch) HD+ Display', '48MP + 2MP | 8MP Front Camera', '5000 mAh Lithium Ion Polymer Battery', 'Mediatek Dimensity 810 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories']",6.0,6.56,48.0,5000.0
OPPO Reno8 5G,26999.0,"['8 GB RAM | 128 GB ROM', '16.33 cm (6.43 inch) Full HD Display', '50MP + 8MP + 2MP | 32MP Front Camera', '4500 mAh Lithium-ion Polymer Battery', 'Mediatek Dimensity 1300 Processor', '1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories']",8.0,6.43,50.0,4500.0
